time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010446650000	7.0205	1.80604	3.2188	0.446513	0.313919	radar	2.76677e-321	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	5.83987	1.43371	2.2049	0.51914	0.3528	lidar	3.95253e-323	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	7.0556	1.8659	3.29125	0.474508	0.335533	radar	2.76677e-321	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	5.83987	1.43371	2.2049	0.51914	0.3528	lidar	3.95253e-323	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	7.07047	1.87965	3.28195	0.483491	0.345922	radar	2.76677e-321	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	5.83987	1.43371	2.2049	0.51914	0.3528	lidar	3.95253e-323	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	7.12225	1.89443	3.3447	0.476579	0.339263	radar	2.76677e-321	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	5.83987	1.43371	2.2049	0.51914	0.3528	lidar	3.95253e-323	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	7.06548	1.90515	3.24779	0.508151	0.370482	radar	2.76677e-321	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	5.83987	1.43371	2.2049	0.51914	0.3528	lidar	3.95253e-323	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	7.15216	1.9192	3.33425	0.491229	0.356245	radar	2.76677e-321	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	5.83987	1.43371	2.2049	0.51914	0.3528	lidar	3.95253e-323	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	7.13248	1.96142	3.34188	0.524839	0.383326	radar	2.76677e-321	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	5.83987	1.43371	2.2049	0.51914	0.3528	lidar	3.95253e-323	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	7.17057	1.96309	3.31703	0.522894	0.387702	radar	2.76677e-321	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	5.83987	1.43371	2.2049	0.51914	0.3528	lidar	3.95253e-323	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	7.17304	2.04634	3.33817	0.581101	0.43754	radar	2.76677e-321	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	5.83987	1.43371	2.2049	0.51914	0.3528	lidar	3.95253e-323	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	7.16443	2.06423	3.31155	0.599486	0.455374	radar	2.76677e-321	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	5.83987	1.43371	2.2049	0.51914	0.3528	lidar	3.95253e-323	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	7.19325	2.2026	3.43876	0.678883	0.516859	radar	2.76677e-321	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	5.83987	1.43371	2.2049	0.51914	0.3528	lidar	3.95253e-323	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	7.1813	2.13525	3.33105	0.646112	0.496528	radar	2.76677e-321	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	5.83987	1.43371	2.2049	0.51914	0.3528	lidar	3.95253e-323	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	7.2156	2.248	3.42997	0.709511	0.547017	radar	2.76677e-321	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	5.83987	1.43371	2.2049	0.51914	0.3528	lidar	3.95253e-323	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	7.13996	2.2383	3.27513	0.737149	0.578144	radar	2.76677e-321	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	5.83987	1.43371	2.2049	0.51914	0.3528	lidar	3.95253e-323	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	7.24927	2.21127	3.4302	0.676193	0.520922	radar	2.76677e-321	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	5.83987	1.43371	2.2049	0.51914	0.3528	lidar	3.95253e-323	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	7.20803	2.23517	3.29587	0.719837	0.567822	radar	2.76677e-321	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	5.83987	1.43371	2.2049	0.51914	0.3528	lidar	3.95253e-323	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	7.28831	2.20433	3.34835	0.675607	0.53194	radar	2.76677e-321	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	5.83987	1.43371	2.2049	0.51914	0.3528	lidar	3.95253e-323	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	7.23716	2.30778	3.36556	0.75851	0.598699	radar	2.76677e-321	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	5.83987	1.43371	2.2049	0.51914	0.3528	lidar	3.95253e-323	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
